X Coordinate,Y Coordinate,Measured Depth (m),Deviation (True/False),Surface-Casing Weight (kg/m),Production-Casing Size (mm),Production-Casing Weight (kg/m),Bore. Temp. (degC),Prod. Formation,Porosity (fraction),Permeability (darcy),OIL Prod. (e3m3/month)
427.3,199.0,1658.1,False.,,139.7,,41.0,Shale-Sand,0.049,0.5,1.69
100.1,1087.0,2004.0,False.,48.1,139.7,25.3,78.0,Shale-Sand,0.0,0.97,0.98
100.7,1076.0,1956.8,False.,,,,63.0,Shale-Sand,0.154,4.84,47.95
535.5,788.0,1744.0,True.,71.4,,,28.0,Shale-Sand,0.142,0.5,16.2
561.6,449.0,1043.0,True.,35.7,139.7,20.8,32.0,Shale-Sand,0.198,3.74,38.18
298.1,441.0,2310.0,False.,35.7,114.3,17.3,64.0,Shale,0.0,0.35,0.26
533.7,181.0,1548.0,True.,35.7,139.7,23.1,,Shale-Sand,0.159,1.65,12.57
526.1,100.0,927.0,False.,35.7,139.7,20.8,30.0,Shale-Sand,0.22,4.59,75.52
531.6,262.0,2407.0,True.,48.1,,,,Shale-Sand,0.19,2.8,10.95
107.9,1165.0,1857.8,True.,,,,72.0,Shale-Sand,0.14,2.15,4.98
645.4,468.0,807.0,True.,53.6,177.8,34.2,23.0,Shale-Sand,0.179,3.1,130.14
615.5,491.0,603.0,True.,,177.8,,24.0,Shale-Sand,0.19,5.21,116.16
407.2,114.0,2180.8,False.,,139.7,,47.0,Shale-Sand,0.162,1.69,33.42
600.3,594.0,597.0,True.,53.6,177.8,34.2,25.0,Shale-Sand,0.121,1.38,11.98
303.8,417.0,1920.5,False.,,114.3,,58.0,Shale-Sand,0.189,15.01,68.75
410.9,307.0,1740.0,False.,,139.7,,55.0,Shale-Sand,0.046,0.67,5.99
507.1,383.0,1109.0,True.,35.7,139.7,20.8,24.0,Shale-Sand,0.197,2.82,32.56
445.0,548.0,999.1,False.,,177.8,,34.0,Shale-Sand,0.18,5.08,46.07
81.6,1067.0,2139.7,True.,,177.8,,80.0,Shale-Sand,0.193,2.34,73.94
614.6,419.0,676.0,False.,35.7,139.7,20.8,30.0,Shale-Sand,0.18,1.73,100.36
536.0,240.0,1025.0,False.,,114.3,,31.0,Shale-Sand,0.137,1.57,26.87
363.7,671.0,1719.1,False.,,139.7,,58.0,Shale-Sand,0.074,0.9,22.68
457.8,362.0,1635.0,True.,,177.8,,23.0,Shale-Sand,0.235,2.73,105.45
419.1,366.0,1925.0,False.,35.7,139.7,20.8,44.0,Shale-Sand,0.169,1.92,3.28
494.7,300.0,1350.0,False.,35.7,114.3,14.1,35.0,Shale-Sand,0.061,1.04,4.76
414.1,178.0,1880.0,True.,53.6,139.7,25.3,44.0,Shale-Sand,0.073,3.15,47.19
525.0,134.0,1049.0,True.,35.7,139.7,20.8,31.0,Shale,0.037,0.57,0.75
607.3,523.0,511.0,True.,48.1,177.8,29.8,19.0,Shale-Sand,0.155,1.92,121.08
361.5,573.0,1134.0,False.,35.7,139.7,20.8,33.0,Shale-Sand,0.035,0.95,9.06
520.0,124.0,1056.0,True.,35.7,139.7,20.8,34.0,Shale-Sand,0.148,0.58,16.01
570.6,605.0,506.5,True.,48.1,177.8,29.8,26.0,Shale-Sand,0.2,2.81,41.33
134.6,1077.0,1690.0,False.,53.6,139.7,23.1,69.0,Shale-Sand,0.069,0.5,7.64
626.2,485.0,695.0,True.,48.1,177.8,34.2,26.0,Shale-Sand,0.138,0.66,12.68
435.4,373.0,1738.0,False.,,139.7,,47.0,Shale-Sand,0.07,3.96,8.71
593.5,531.0,644.2,False.,,177.8,,,Shale-Sand,0.042,0.84,1.17
81.5,608.0,3350.0,True.,,139.7,,96.0,Sand,0.257,13.52,298.28
566.8,601.0,463.0,True.,53.6,177.8,34.2,,Shale-Sand,0.312,31.6,157.79
149.2,771.0,2130.0,True.,53.6,139.7,25.3,58.0,Shale-Sand,0.098,0.61,8.0
543.5,364.0,1043.0,False.,,114.3,,33.0,Shale-Sand,0.096,2.05,9.73
348.0,345.0,2370.0,True.,,139.7,,55.0,Shale-Sand,0.244,14.0,110.71
34.2,785.0,5085.0,True.,53.6,,,,Shale-Sand,0.123,1.02,27.26
458.3,333.0,1631.3,False.,,139.7,,,Shale-Sand,0.196,8.55,78.99
366.1,573.0,1108.0,True.,35.7,139.7,20.8,34.0,Shale-Sand,0.248,6.13,173.73
141.1,1151.0,1580.4,True.,,177.8,,53.0,Shale-Sand,0.233,34.02,154.99
500.2,97.0,1038.0,False.,,139.7,,32.0,Shale-Sand,0.042,0.59,0.98
504.3,95.0,1063.0,True.,35.7,139.7,23.1,32.0,Shale-Sand,0.154,2.08,2.43
618.6,350.0,890.0,True.,35.7,139.7,20.8,32.0,Shale-Sand,0.233,13.1,214.02
448.7,528.0,1012.0,True.,35.7,139.7,20.8,36.0,Shale-Sand,0.21,9.66,152.22
460.3,330.0,1668.2,False.,,177.8,,53.0,Shale-Sand,0.138,4.96,47.04
590.0,512.0,821.0,True.,53.6,177.8,34.2,15.0,Shale-Sand,0.256,10.51,89.71
635.8,406.0,649.8,False.,,114.3,,26.0,Shale-Sand,0.055,0.82,2.35
135.0,1157.0,1723.6,True.,,,,61.0,Shale-Sand,0.108,3.08,36.72
333.2,396.0,1812.0,False.,,114.3,,60.0,Shale-Sand,0.199,1.85,77.79
488.7,304.0,1275.0,False.,35.7,114.3,14.1,35.0,Shale-Sand,0.188,2.18,23.08
631.0,380.0,881.0,True.,35.7,139.7,20.8,30.0,Shale-Sand,0.091,0.7,9.99
500.3,85.0,994.0,True.,35.7,114.3,15.6,32.0,Shale-Sand,0.054,0.82,13.9
293.6,380.0,5610.0,True.,35.7,114.3,20.1,,Shale-Sand,0.069,0.85,12.59
623.3,486.0,666.0,False.,,177.8,,25.0,Shale-Sand,0.259,8.77,105.85
611.5,530.0,601.0,True.,35.7,139.7,20.8,,Shale-Sand,0.143,0.87,14.97
553.7,463.0,777.2,False.,,114.3,,29.0,Shale-Sand,0.07,1.96,10.51
312.0,374.0,2154.0,True.,,139.7,,53.0,Shale-Sand,0.133,5.47,117.74
559.6,456.0,881.0,True.,35.7,139.7,20.8,27.0,Shale-Sand,0.162,2.0,26.02
532.8,160.0,998.0,False.,53.6,177.8,29.8,26.0,Shale-Sand,0.182,4.44,39.98
140.7,1148.0,1508.8,True.,,177.8,,59.0,Shale-Sand,0.255,16.68,169.12
612.3,424.0,733.6,True.,35.7,139.7,20.8,,Shale-Sand,0.269,5.14,121.69
73.4,775.0,1596.0,False.,48.1,139.7,25.3,60.0,Shale-Sand,0.088,1.98,9.93
637.8,406.0,676.0,True.,,139.7,,31.0,Sand,0.321,30.29,621.34
106.8,1075.0,1910.0,False.,53.6,,,55.0,Shale-Sand,0.148,4.55,49.56
427.0,291.0,1607.0,False.,35.7,139.7,20.8,48.0,Shale-Sand,0.111,2.35,14.69
601.2,459.0,1593.0,True.,62.5,,,,Shale,0.007,0.3,0.7
82.5,641.0,3180.0,True.,35.7,139.7,25.3,,Shale-Sand,0.135,1.16,30.28
449.8,534.0,1596.0,True.,25.3,114.3,17.3,,Shale-Sand,0.107,5.1,48.45
565.7,602.0,949.0,True.,53.6,177.8,34.2,21.0,Shale-Sand,0.202,5.23,151.54
344.1,194.0,2540.2,False.,,177.8,,,Shale,0.0,0.4,0.41
520.6,120.0,977.8,False.,,114.3,,33.0,Shale-Sand,0.0,0.13,1.28
245.1,461.0,2009.0,True.,35.7,139.7,25.3,55.0,Shale-Sand,0.294,6.57,130.17
576.5,601.0,644.0,True.,48.1,177.8,25.3,30.0,Shale-Sand,0.158,4.33,37.47
62.9,730.0,2200.0,False.,,139.7,,64.0,Shale-Sand,0.01,0.74,1.12
605.1,481.0,619.0,False.,48.1,177.8,29.8,,Shale-Sand,0.165,3.3,27.26
557.0,447.0,788.0,True.,35.7,139.7,20.8,26.0,Shale-Sand,0.11,1.38,11.13
578.4,609.0,676.0,True.,48.1,177.8,25.3,,Shale-Sand,0.139,1.5,10.74
615.5,591.0,343.0,False.,81.1,244.5,48.1,21.0,Shale-Sand,0.147,4.38,79.52
77.8,757.0,3505.0,True.,53.6,139.7,25.3,,Sand,0.282,39.32,595.54
311.4,372.0,2183.0,False.,,139.7,,,Shale-Sand,0.238,9.09,92.95
91.0,1063.0,2674.0,True.,53.6,,,,Shale-Sand,0.161,2.63,43.2
109.9,1168.0,1883.7,True.,,,,71.0,Shale-Sand,0.185,4.06,93.33
609.6,581.0,551.0,True.,59.5,177.8,34.2,,Shale-Sand,0.151,3.97,42.97
646.0,383.0,821.0,True.,,177.8,,32.0,Shale-Sand,0.29,2.73,151.02
435.9,555.0,1006.8,False.,,139.7,,32.0,Shale-Sand,0.136,1.37,34.34
602.5,583.0,472.0,True.,53.6,177.8,34.2,21.0,Shale,0.047,0.87,0.66
303.1,453.0,1647.4,False.,,114.3,,42.0,Shale-Sand,0.179,5.69,81.09
309.4,455.0,1517.0,False.,,177.8,,,Shale-Sand,0.184,6.12,21.47
414.1,303.0,2066.0,True.,,139.7,,,Shale-Sand,0.146,2.92,35.83
452.9,532.0,715.0,False.,25.3,114.3,14.1,,Shale-Sand,0.128,4.19,27.91
73.7,768.0,3563.0,True.,53.6,,,,Shale-Sand,0.147,2.38,23.85
633.9,510.0,515.0,True.,48.1,177.8,29.8,29.0,Sand,0.421,203.0,988.75
592.2,528.0,644.0,False.,,177.8,,25.0,Shale-Sand,0.084,0.77,5.49
596.3,580.0,724.0,True.,53.6,177.8,34.2,,Shale-Sand,0.112,2.38,59.65
460.6,345.0,1642.9,True.,,177.8,,51.0,Shale-Sand,0.193,7.0,60.63
602.8,476.0,671.0,False.,48.1,177.8,25.3,17.0,Shale-Sand,0.211,3.19,80.48
606.4,523.0,563.0,True.,48.1,177.8,34.2,26.0,Shale-Sand,0.157,2.93,19.18
537.0,360.0,1011.9,False.,,114.3,,31.0,Shale-Sand,0.192,1.92,32.77
605.5,553.0,523.0,True.,53.6,177.8,34.2,23.0,Shale-Sand,0.094,1.76,7.92
599.5,538.0,489.0,True.,48.1,177.8,29.8,26.0,Shale-Sand,0.094,3.3,28.0
573.5,140.0,1802.0,True.,48.1,,,,Shale-Sand,0.118,1.45,27.77
311.2,480.0,1466.1,False.,,114.3,,41.0,Shale-Sand,0.205,11.34,74.28
474.9,273.0,1345.0,False.,,114.3,,42.0,Shale-Sand,0.198,2.42,89.54
397.0,488.0,1628.2,False.,,177.8,,53.0,Shale-Sand,0.202,1.92,57.07
139.6,708.0,3412.0,True.,53.6,139.7,25.3,,Shale-Sand,0.255,4.27,153.4
599.8,541.0,546.0,True.,48.1,177.8,34.2,27.0,Shale-Sand,0.135,2.07,52.26
400.9,276.0,2773.0,True.,53.6,177.8,38.7,74.0,Sand,0.307,7.86,525.83
540.5,236.0,1046.4,False.,,114.3,,32.0,Shale-Sand,0.132,0.35,10.21
596.8,507.0,642.0,True.,48.1,177.8,25.3,26.0,Shale-Sand,0.21,4.96,172.42
603.2,546.0,657.0,True.,48.1,177.8,34.2,25.0,Shale-Sand,0.201,5.26,75.07
610.9,531.0,702.0,True.,48.1,177.8,25.3,27.0,Shale-Sand,0.24,7.21,157.76
34.9,785.0,5714.0,True.,53.6,,,,Shale-Sand,0.186,0.85,11.5
540.5,188.0,996.7,False.,,139.7,,37.0,Shale-Sand,0.17,0.88,36.14
609.8,423.0,701.0,False.,48.7,177.8,25.3,26.0,Shale-Sand,0.194,1.6,62.05
627.8,308.0,772.7,False.,,114.3,,23.0,Shale-Sand,0.141,7.03,30.31
599.9,521.0,619.0,False.,48.1,177.8,29.8,25.0,Shale-Sand,0.159,0.93,21.56
587.0,514.0,745.0,True.,53.6,177.8,34.2,24.0,Shale-Sand,0.239,20.37,157.22
130.2,1132.0,1655.1,True.,,,,60.0,Shale-Sand,0.14,2.04,4.46
551.3,98.0,950.0,True.,35.7,139.7,20.8,32.0,Shale-Sand,0.141,3.98,45.51
310.8,369.0,2238.0,False.,53.6,139.7,25.3,63.0,Shale-Sand,0.121,1.44,11.37
182.9,676.0,2580.7,False.,,139.7,,76.0,Shale-Sand,0.083,5.5,16.53
388.3,492.0,1823.0,False.,,,,64.0,Shale-Sand,0.046,0.97,1.4
596.2,594.0,579.0,True.,53.8,177.8,34.2,,Shale-Sand,0.241,5.67,113.28
616.1,588.0,513.0,False.,48.1,177.8,29.8,21.0,Shale-Sand,0.102,1.93,1.38
414.4,546.0,1239.9,False.,,177.8,,44.0,Shale-Sand,0.059,1.79,23.03
619.5,529.0,676.0,True.,48.1,177.8,34.2,29.0,Shale-Sand,0.233,11.41,171.83
117.9,1102.0,2290.0,True.,17.3,,,63.0,Shale-Sand,0.189,1.44,62.35
585.3,383.0,880.0,True.,35.7,139.7,20.8,28.0,Shale-Sand,0.247,3.32,160.61
127.2,1179.0,1783.0,False.,,177.8,,62.0,Shale-Sand,0.054,1.45,6.47
431.6,360.0,1670.0,False.,48.1,,,47.0,Shale-Sand,0.126,1.77,23.3
495.7,49.0,1016.5,False.,,114.3,,29.0,Shale-Sand,0.249,1.42,20.73
607.6,585.0,456.0,True.,,177.8,,19.0,Shale-Sand,0.174,0.93,17.22
535.6,393.0,919.6,False.,,177.8,,28.0,Shale-Sand,0.215,4.41,65.16
457.5,233.0,1475.2,False.,,139.7,,39.0,Shale-Sand,0.0,1.58,4.95
592.8,528.0,638.0,False.,,177.8,,23.0,Shale-Sand,0.091,2.52,20.99
537.8,234.0,1069.8,False.,,139.7,,33.0,Shale-Sand,0.084,1.11,0.96
534.3,161.0,1012.2,True.,,177.8,,38.0,Shale-Sand,0.202,4.11,195.67
383.8,450.0,2167.1,False.,,177.8,,,Shale-Sand,0.05,0.51,2.6
535.6,160.0,1008.6,True.,,177.8,,34.0,Sand,0.269,12.05,490.4
581.1,518.0,657.0,True.,48.1,177.8,29.8,25.0,Shale-Sand,0.08,1.4,4.68
286.8,628.0,2539.0,False.,,114.3,,85.0,Shale-Sand,0.159,6.24,39.8
538.3,240.0,1090.0,True.,35.7,139.7,20.8,38.0,Shale-Sand,0.125,11.78,131.81
343.5,411.0,1308.0,False.,35.7,139.7,20.8,46.0,Shale-Sand,0.212,7.54,74.27
556.0,163.0,1075.0,True.,35.7,139.7,20.8,,Shale-Sand,0.137,2.58,36.67
570.0,186.0,1010.0,True.,35.7,139.7,20.8,34.0,Shale-Sand,0.312,11.55,264.75
617.6,586.0,510.0,True.,48.1,177.8,29.7,13.0,Shale-Sand,0.153,2.44,94.48
591.5,455.0,699.0,True.,,177.8,,27.0,Sand,0.206,23.3,304.73
128.5,1129.0,1536.2,True.,,,,69.0,Shale-Sand,0.17,1.82,9.24
343.0,307.0,2635.9,False.,,139.7,,70.0,Shale-Sand,0.062,2.6,26.64
456.2,8.0,2775.0,True.,59.5,139.7,34.3,,Shale-Sand,0.034,0.73,3.87
366.1,572.0,1101.0,False.,35.7,139.7,20.8,32.0,Shale-Sand,0.267,1.66,107.26
609.8,529.0,561.0,True.,,139.7,20.8,29.0,Shale-Sand,0.207,5.14,142.41
460.0,445.0,1176.0,True.,35.7,139.7,20.8,30.0,Shale-Sand,0.099,0.99,23.67
612.8,617.0,550.5,True.,,177.8,34.2,21.0,Shale-Sand,0.204,6.94,42.26
600.8,594.0,535.0,True.,48.1,177.8,38.7,20.0,Shale,0.04,0.39,0.43
493.7,99.0,1055.0,True.,,139.7,,33.0,Sand,0.282,12.36,338.24
531.3,108.0,993.0,False.,35.7,139.7,20.8,35.0,Shale-Sand,0.186,2.59,48.54
132.0,1138.0,1559.1,True.,,177.8,,56.0,Shale-Sand,0.028,1.44,20.56
609.4,422.0,686.0,False.,48.7,177.8,25.3,,Shale-Sand,0.077,2.91,28.06
338.2,413.0,1360.0,False.,35.7,114.3,14.1,45.0,Shale-Sand,0.155,6.18,40.41
452.1,343.0,1814.0,True.,,114.3,,58.0,Shale-Sand,0.195,4.78,145.42
584.8,522.0,681.0,True.,53.6,177.8,34.2,12.0,Shale-Sand,0.165,7.45,54.95
633.5,457.0,734.0,True.,48.1,177.8,29.8,20.0,Shale,0.065,0.32,0.52
608.3,113.0,918.0,True.,35.7,139.7,20.8,26.0,Shale-Sand,0.032,0.28,2.22
351.2,333.0,2137.0,False.,,139.7,,53.0,Shale-Sand,0.192,2.47,70.24
135.3,1155.0,1807.0,True.,53.6,177.8,34.2,,Shale-Sand,0.059,0.28,1.48
638.2,471.0,627.3,False.,,177.8,,27.0,Shale-Sand,0.177,2.42,70.99
592.0,608.0,454.0,False.,53.6,177.8,34.2,25.0,Shale-Sand,0.079,1.41,5.08
556.3,381.0,872.9,False.,,114.3,,32.0,Shale-Sand,0.156,2.26,50.64
580.1,609.0,681.0,True.,48.1,177.8,25.3,8.0,Shale-Sand,0.165,4.45,51.02
618.1,379.0,816.0,True.,35.7,139.7,20.8,25.0,Sand,0.242,25.34,635.03
490.3,86.0,1025.0,False.,35.7,139.7,20.8,33.0,Shale,0.087,0.79,0.61
445.4,548.0,979.3,False.,,177.8,,46.0,Shale-Sand,0.121,1.57,22.05
153.6,768.0,2077.0,False.,35.7,139.7,25.3,64.0,Shale-Sand,0.042,0.48,10.67
365.2,445.0,1033.0,False.,35.7,139.7,20.8,34.0,Shale-Sand,0.074,1.14,44.6
451.4,533.0,714.0,True.,25.3,114.3,14.1,30.0,Shale-Sand,0.063,2.12,8.37
521.7,167.0,1110.0,True.,35.7,139.7,20.8,25.0,Shale-Sand,0.148,1.39,19.53
589.5,328.0,875.0,False.,35.7,114.3,14.1,29.0,Shale-Sand,0.187,8.27,33.75
329.4,344.0,2121.4,False.,,114.3,,50.0,Shale-Sand,0.141,0.7,16.59
394.5,366.0,2204.3,False.,,193.7,,51.0,Shale-Sand,0.108,1.35,5.81
565.2,457.0,950.0,True.,35.7,139.7,20.8,28.0,Shale-Sand,0.165,2.07,96.66
595.9,525.0,647.0,True.,48.7,177.8,38.7,25.0,Shale-Sand,0.056,0.71,4.95
318.1,860.0,1261.0,True.,48.1,114.3,14.1,35.0,Shale-Sand,0.223,11.95,145.17
621.6,376.0,960.0,True.,41.6,139.7,20.8,,Shale,0.027,0.35,0.63
355.6,475.0,1625.0,False.,,139.7,,46.0,Shale-Sand,0.084,4.96,28.16
307.7,369.0,2288.0,False.,,139.7,,59.0,Shale-Sand,0.13,0.53,26.33
517.5,214.0,1042.4,False.,,114.3,,32.0,Shale-Sand,0.173,1.64,54.65
299.2,483.0,1544.0,False.,35.7,139.7,23.1,40.0,Shale-Sand,0.09,2.35,22.08
140.7,1141.0,1612.1,False.,,114.3,,63.0,Shale-Sand,0.181,4.14,15.59
553.2,361.0,880.0,True.,25.3,114.3,14.1,35.0,Shale-Sand,0.218,9.1,156.42
271.0,846.0,1646.0,True.,35.7,139.7,20.8,32.0,Shale-Sand,0.25,6.56,70.47
351.1,882.0,1350.0,False.,48.1,177.8,34.2,,Shale-Sand,0.065,2.54,32.14
117.6,1078.0,1700.0,False.,,177.8,,60.0,Shale-Sand,0.108,0.63,21.53
306.4,383.0,2207.0,True.,35.7,139.7,25.3,,Shale-Sand,0.133,3.55,11.48
445.3,542.0,1009.5,True.,,177.8,,,Shale-Sand,0.25,7.01,203.26
531.8,229.0,1039.4,True.,,114.3,,33.0,Sand,0.376,8.37,665.9
350.1,694.0,1761.0,False.,,177.8,,50.0,Shale-Sand,0.185,1.19,48.75
349.3,478.0,1720.0,False.,,139.7,,50.0,Shale-Sand,0.099,3.67,3.46
349.3,362.0,2252.0,False.,,139.7,,56.0,Shale-Sand,0.149,0.31,6.62
593.2,616.0,770.0,True.,48.1,177.8,25.3,25.0,Shale-Sand,0.187,3.04,58.59
591.1,596.0,585.0,True.,53.6,177.8,29.8,27.0,Shale-Sand,0.061,0.37,3.81
598.3,460.0,716.0,True.,53.6,177.8,34.2,25.0,Shale-Sand,0.123,5.7,41.4
611.8,620.0,595.0,True.,,177.8,34.2,21.0,Shale-Sand,0.115,3.07,28.19
588.5,540.0,712.0,True.,53.6,177.8,34.2,29.0,Shale-Sand,0.169,3.45,101.35
577.3,604.0,638.0,True.,48.1,177.8,25.3,20.0,Shale-Sand,0.218,4.7,68.41
608.0,524.0,511.0,False.,53.6,177.8,34.2,,Shale-Sand,0.0,0.73,1.36
106.2,1164.0,1905.0,False.,,,,76.0,Shale-Sand,0.089,1.08,17.11
272.1,398.0,3349.0,False.,53.6,,,99.0,Shale-Sand,0.184,4.2,77.09
339.1,525.0,1650.0,False.,,139.7,,46.0,Shale-Sand,0.117,1.31,28.5
64.2,769.0,1910.0,True.,35.7,139.7,23.1,62.0,Sand,0.307,47.05,886.35
398.4,330.0,2335.0,True.,53.6,177.8,38.7,69.0,Sand,0.287,24.87,644.4
621.0,544.0,676.0,True.,48.0,177.8,29.7,15.0,Shale-Sand,0.244,23.3,185.91
447.1,537.0,985.1,False.,,177.8,,30.0,Shale-Sand,0.129,1.59,15.53
140.6,1140.0,1515.2,True.,,177.8,,54.0,Shale-Sand,0.206,9.45,121.89
619.7,533.0,523.0,False.,17.9,177.8,29.8,34.0,Shale-Sand,0.195,3.81,94.96
119.7,1087.0,1865.4,True.,,177.8,,72.0,Shale-Sand,0.066,5.79,72.76
588.3,489.0,652.0,False.,,177.8,,23.0,Shale-Sand,0.079,0.83,5.4
325.6,467.0,1432.0,True.,35.7,139.7,25.3,40.0,Shale-Sand,0.174,9.86,155.79
590.7,482.0,751.0,True.,53.6,177.8,34.2,25.0,Shale-Sand,0.098,0.96,17.51
347.0,705.0,1687.0,False.,,177.8,,47.0,Shale-Sand,0.204,2.88,94.46
152.4,1151.0,1557.0,True.,53.6,,,51.0,Shale-Sand,0.208,0.96,88.15
510.2,141.0,1577.0,True.,35.7,139.7,20.8,30.0,Shale-Sand,0.139,5.13,14.82
290.2,463.0,1784.0,False.,35.7,139.7,23.1,45.0,Shale-Sand,0.193,5.19,52.22
510.0,191.0,1113.0,False.,25.3,114.3,14.1,36.0,Shale,0.0,0.21,0.42
557.7,446.0,761.0,True.,35.7,139.7,20.8,27.0,Shale-Sand,0.13,2.22,7.95
646.2,451.0,657.0,False.,48.1,177.8,29.8,28.0,Shale-Sand,0.101,3.77,24.12
515.5,116.0,1010.0,False.,35.7,114.3,14.1,31.0,Shale-Sand,0.109,3.58,47.49
214.7,730.0,2440.0,False.,48.1,139.7,25.3,65.0,Shale-Sand,0.063,0.63,9.82
404.1,401.0,1650.0,False.,,139.7,,53.0,Shale-Sand,0.0,1.04,1.35
135.2,1154.0,1524.0,False.,53.6,177.8,38.7,57.0,Shale-Sand,0.208,14.97,49.23
644.2,436.0,684.3,True.,48.1,177.8,25.3,25.0,Shale-Sand,0.161,1.04,52.32
422.5,289.0,1685.5,False.,,114.3,,49.0,Shale-Sand,0.207,7.23,68.69
610.5,529.0,441.0,True.,35.7,139.7,20.8,26.0,Shale-Sand,0.22,11.75,160.27
306.2,456.0,1543.8,False.,,139.7,,51.0,Shale-Sand,0.178,0.78,20.06
317.0,403.0,1969.0,True.,,114.3,,54.0,Shale-Sand,0.171,7.55,169.11
447.7,543.0,979.6,True.,,177.8,,29.0,Shale-Sand,0.157,6.05,122.77
573.6,604.0,620.0,True.,48.1,177.8,29.8,26.0,Shale-Sand,0.0,0.8,1.38
125.8,1179.0,1839.0,True.,53.6,177.8,34.2,58.0,Shale-Sand,0.188,1.82,33.07
283.4,888.0,1635.0,False.,48.1,,,30.0,Shale-Sand,0.035,0.97,11.92
452.4,472.0,1202.0,True.,,114.3,,41.0,Sand,0.227,16.68,457.73
619.3,612.0,1380.0,True.,81.1,,,91.0,Shale-Sand,0.23,3.87,79.69
594.2,530.0,637.5,False.,,177.8,,24.0,Shale-Sand,0.05,3.35,7.2
197.3,606.0,2136.0,False.,,114.3,,66.0,Shale-Sand,0.076,1.27,23.11
538.6,100.0,980.0,False.,35.7,139.7,20.8,31.0,Shale-Sand,0.015,0.28,1.07
143.5,631.0,4550.0,True.,53.6,,,70.0,Shale-Sand,0.034,0.46,2.78
96.1,713.0,1907.0,False.,,139.7,,55.0,Shale-Sand,0.145,1.4,44.12
448.9,542.0,957.7,False.,,177.8,,31.0,Shale-Sand,0.084,1.72,16.44
188.2,676.0,2900.0,False.,,139.7,,78.0,Shale-Sand,0.203,3.56,96.66
535.6,222.0,917.4,False.,,139.7,,24.0,Shale-Sand,0.136,2.46,46.31
521.8,393.0,859.0,False.,,114.3,,31.0,Shale-Sand,0.244,8.53,101.65
336.0,466.0,2800.0,True.,35.7,114.3,17.3,,Shale-Sand,0.008,1.15,2.39
80.5,694.0,1151.0,False.,35.7,139.7,20.8,30.0,Shale-Sand,0.112,1.16,16.31
636.6,407.0,695.0,True.,35.7,139.7,20.8,34.0,Sand,0.287,16.04,490.24
606.8,488.0,610.0,True.,48.1,177.8,34.2,21.0,Shale-Sand,0.165,2.05,31.47
569.7,606.0,464.0,True.,48.1,177.8,29.8,25.0,Shale-Sand,0.225,3.76,231.63
506.1,114.0,1025.0,True.,35.7,139.7,23.1,33.0,Shale-Sand,0.196,3.76,204.43
578.7,594.0,420.0,False.,48.1,177.8,25.3,25.0,Shale-Sand,0.104,1.1,16.2
631.0,463.0,811.0,True.,48.1,177.8,29.8,32.0,Shale-Sand,0.041,0.59,1.73
390.6,467.0,1914.4,True.,,177.8,,57.0,Shale-Sand,0.258,13.56,146.15
337.8,385.0,2125.0,False.,,139.7,,60.0,Shale-Sand,0.173,1.6,8.84
618.8,529.0,612.0,True.,48.1,177.8,34.2,26.0,Shale-Sand,0.13,2.25,9.65
624.3,349.0,2308.0,True.,35.7,139.7,25.3,,Shale-Sand,0.195,3.45,43.83
455.9,536.0,1210.0,True.,15.6,,,,Shale-Sand,0.123,0.9,7.33
619.5,530.0,603.5,True.,48.1,177.8,34.2,26.0,Sand,0.322,15.67,596.07
307.4,456.0,1525.2,False.,,139.7,,,Shale-Sand,0.156,2.06,24.97
595.5,527.0,626.3,False.,48.7,177.8,34.2,24.0,Shale-Sand,0.103,2.31,26.01
497.2,124.0,1505.0,True.,53.6,177.8,34.2,37.0,Shale-Sand,0.246,7.97,262.46
597.5,531.0,615.0,False.,,177.8,,22.0,Shale-Sand,0.104,1.5,0.92
615.2,620.0,646.0,True.,,177.8,34.2,,Shale-Sand,0.011,0.44,1.54
605.6,482.0,655.0,True.,53.6,177.8,34.2,26.0,Shale-Sand,0.18,1.47,24.51
572.8,608.0,627.0,True.,48.1,177.8,29.8,25.0,Shale-Sand,0.098,1.97,15.26
602.6,457.0,706.8,False.,,177.8,,28.0,Shale-Sand,0.031,1.0,1.17
623.0,591.0,535.0,True.,48.1,177.8,29.8,25.0,Shale-Sand,0.203,2.2,32.19
422.8,296.0,1652.0,False.,,139.7,,50.0,Shale-Sand,0.103,3.56,12.34
598.2,442.0,706.8,False.,,139.7,,29.0,Shale-Sand,0.029,0.48,1.34
362.8,409.0,2929.2,True.,53.6,177.8,38.7,,Shale-Sand,0.231,6.1,74.98
588.2,547.0,560.0,True.,48.1,177.8,25.3,24.0,Shale-Sand,0.173,4.9,46.6
604.2,594.0,582.0,True.,48.1,177.8,25.3,,Shale-Sand,0.176,4.94,159.54
558.9,136.0,964.7,False.,,114.3,,36.0,Shale-Sand,0.201,1.65,14.2
269.7,603.0,2760.0,False.,53.6,177.8,38.7,80.0,Shale-Sand,0.192,2.96,105.21
610.1,111.0,870.0,False.,35.7,139.7,23.1,27.0,Shale-Sand,0.147,1.88,61.28
598.3,597.0,586.0,True.,53.6,177.8,34.2,25.0,Shale-Sand,0.233,8.24,94.95
124.5,1128.0,1567.0,False.,48.1,,,60.0,Shale,0.043,0.3,0.33
606.4,452.0,596.0,True.,48.7,177.8,25.3,24.0,Shale-Sand,0.255,14.97,222.66
300.7,416.0,2002.0,True.,,,,54.0,Sand,0.374,92.72,910.91
